Name,Age,Country,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Status
Nolan Arenado,30,us US,R,R,6' 2,215,Apr 16 1991,9,157,157,157,155,0,0,0,0,155,0,0,0,0,0,2,0,0,4.1,All-Star
Harrison Bader,27,us US,R,R,6' 0,210,Jun 3 1994,5,103,101,103,103,0,0,0,0,0,0,0,103,0,103,0,0,0,3.9,
Genesis Cabrera,24,do DO,L,L,6' 2,180,Oct 10 1996,3,71,0,68,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0.1,
Dylan Carlson,22,us US,B,L,6' 2,205,Oct 23 1998,2,149,145,149,145,0,0,0,0,0,0,9,60,87,145,0,4,0,3.2,
Matt Carpenter,35,us US,L,R,6' 4,210,Nov 26 1985,11,130,44,130,53,1,0,14,34,6,0,0,0,0,0,2,77,0,-1,
Austin Dean,27,us US,R,R,6' 0,215,Oct 14 1993,4,22,4,22,9,0,0,0,0,0,0,6,0,3,9,0,15,0,0,
Paul DeJong,27,us US,R,R,6' 0,205,Aug 2 1993,5,113,100,113,107,0,0,0,0,0,107,0,0,0,0,0,6,1,1.6,
Brandon Dickson,36,us US,R,R,6' 5,190,Nov 3 1984,3,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,
Tommy Edman,26,us US,B,R,5' 10,180,May 9 1995,3,159,153,159,157,0,0,0,130,0,4,0,0,41,41,0,4,0,3.7,
Seth Elledge,25,us US,R,R,6' 3,240,May 20 1996,2,11,0,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,
Junior Fernandez,24,do DO,R,R,6' 3,215,Mar 2 1997,3,18,0,16,18,18,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,
Jack Flaherty,25,us US,R,R,6' 4,225,Oct 15 1995,5,17,15,15,17,17,0,0,0,0,0,0,0,0,0,0,0,0,1,
Bernardo Flores Jr.,25,us US,L,L,6' 4,190,Aug 23 1995,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Giovanny Gallegos,29,mx MX,R,R,6' 2,215,Aug 14 1991,5,73,0,69,73,73,0,0,0,0,0,0,0,0,0,0,0,0,1.1,
John Gant,28,us US,R,R,6' 4,200,Aug 6 1992,6,25,14,22,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0.7,
Luis Garcia,34,do DO,R,R,6' 2,240,Jan 30 1987,9,34,0,31,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0.3,
Paul Goldschmidt,33,us US,R,R,6' 3,220,Sep 10 1987,11,158,157,158,153,0,0,153,0,0,0,0,0,0,0,4,1,0,6.1,
J.A. Happ,38,us US,L,L,6' 5,205,Oct 19 1982,15,11,11,10,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0.3,
Ryan Helsley,26,us US,R,R,6' 2,230,Jul 18 1994,3,51,0,48,51,51,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,
Jordan Hicks,24,us US,R,R,6' 2,220,Sep 6 1996,3,10,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,
Dakota Hudson,26,us US,R,R,6' 5,215,Sep 15 1994,4,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.3,
