Name,Position,Age,Ht,Wt,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Base Salary
Nolan Arenado,3B,30,"6' 2""",215,157,157,157,155,0,0,0,0,155,0,0,0,0,0,2,0,0,4.1,35000000
Harrison Bader,CF,27,"6' 0""",210,103,101,103,103,0,0,0,0,0,0,0,103,0,103,0,0,0,3.9,2000000
Genesis Cabrera,RP,24,"6' 2""",180,71,0,68,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0.1,580900
Dylan Carlson,RF,22,"6' 2""",205,149,145,149,145,0,0,0,0,0,0,9,60,87,145,0,4,0,3.2,577100
Matt Carpenter,2B,35,"6' 4""",210,130,44,130,53,1,0,14,34,6,0,0,0,0,0,2,77,0,-1,18500000
Austin Dean,LF,27,"6' 0""",215,22,4,22,9,0,0,0,0,0,0,6,0,3,9,0,15,0,0,0
Paul DeJong,SS,27,"6' 0""",205,113,100,113,107,0,0,0,0,0,107,0,0,0,0,0,6,1,1.6,4000000
Brandon Dickson,RP,36,"6' 5""",190,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0
Tommy Edman,2B,26,"5' 10""",180,159,153,159,157,0,0,0,130,0,4,0,0,41,41,0,4,0,3.7,596000
Seth Elledge,RP,25,"6' 3""",240,11,0,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0
Junior Fernandez,RP,24,"6' 3""",215,18,0,16,18,18,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,570500
Jack Flaherty,SP,25,"6' 4""",225,17,15,15,17,17,0,0,0,0,0,0,0,0,0,0,0,0,1,3900000
Bernardo Flores Jr.,RP,25,"6' 4""",190,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giovanny Gallegos,RP,29,"6' 2""",215,73,0,69,73,73,0,0,0,0,0,0,0,0,0,0,0,0,1.1,594500
John Gant,RP,28,"6' 4""",200,25,14,22,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0.7,2100000
Luis Garcia,RP,34,"6' 2""",240,34,0,31,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0.3,570500
Paul Goldschmidt,1B,33,"6' 3""",220,158,157,158,153,0,0,153,0,0,0,0,0,0,0,4,1,0,6.1,22000000
J.A. Happ,SP,38,"6' 5""",205,11,11,10,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0.3,8000000
Ryan Helsley,RP,26,"6' 2""",230,51,0,48,51,51,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,582300
Jordan Hicks,RP,24,"6' 2""",220,10,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,862500
Dakota Hudson,SP,26,"6' 5""",215,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.3,595700
Scott Hurst,CF,25,"5' 10""",175,7,0,7,6,0,0,0,0,0,0,0,6,0,6,0,1,2,-0.1,0
Kwang Hyun Kim,SP,32,"6' 2""",195,27,21,25,27,27,0,0,0,0,0,0,0,0,0,0,0,0,1.2,4000000
Andrew Knizner,C,26,"6' 1""",225,63,43,63,58,0,57,1,0,0,0,0,0,0,0,0,10,2,-0.2,579200
Wade LeBlanc,SP,36,"6' 2""",195,12,8,11,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.4,570500
Jon Lester,SP,37,"6' 4""",249,12,12,11,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2000000
Carlos Martinez,SP,29,"6' 0""",200,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,-1.4,11500000
