Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,Adam Wainwright,39,17,7,0.708,3.05,32,32,0,3,1,0,206.1,168,72,70,21,50,3,174,9,1,4,828,127,3.66,1.057,7.3,0.9,2.2,7.6,3.48
2,SP,Kwang Hyun Kim,32,7,7,0.5,3.46,27,21,2,0,0,1,106.2,98,46,41,12,39,2,80,4,0,4,452,112,4.34,1.284,8.3,1,3.3,6.8,2.05
3,SP,Carlos Martinez,29,4,9,0.308,6.23,16,16,0,0,0,0,82.1,77,58,57,8,36,2,57,11,0,3,363,62,4.76,1.372,8.4,0.9,3.9,6.2,1.58
4,SP,Jack Flaherty,25,9,2,0.818,3.22,17,15,0,0,0,0,78.1,57,35,28,12,26,1,85,6,0,4,322,121,4.22,1.06,6.5,1.4,3,9.8,3.27
5,SP,John Gant,28,4,6,0.4,3.42,25,14,4,0,0,0,76.1,64,32,29,6,56,2,56,5,0,0,345,114,5.12,1.572,7.5,0.7,6.6,6.6,1
6,SP,Johan Oviedo,23,0,5,0,4.91,14,13,0,0,0,0,62.1,61,39,34,8,37,2,51,6,0,2,288,79,5.27,1.572,8.8,1.2,5.3,7.4,1.38
7,CL,Alex Reyes,26,10,8,0.556,3.24,69,0,54,0,0,29,72.1,46,32,26,9,52,1,95,2,1,10,317,120,4.4,1.355,5.7,1.1,6.5,11.8,1.83
8,RP,Giovanny Gallegos,29,6,5,0.545,3.02,73,0,20,0,0,14,80.1,51,28,27,6,20,2,95,6,0,4,310,129,2.75,0.884,5.7,0.7,2.2,10.6,4.75
9,RP,Genesis Cabrera,24,4,5,0.444,3.73,71,0,5,0,0,0,70,52,31,29,3,36,2,77,5,0,9,296,104,3.28,1.257,6.7,0.4,4.6,9.9,2.14
10,RP,Ryan Helsley,26,6,4,0.6,4.56,51,0,7,0,0,1,47.1,40,24,24,4,27,2,47,0,0,7,206,85,3.99,1.415,7.6,0.8,5.1,8.9,1.74
11,RP,Andrew Miller,36,0,0,,4.75,40,0,6,0,0,0,36,41,19,19,5,16,1,40,5,0,1,164,82,4.5,1.583,10.3,1.3,4,10,2.5
12,,Jake Woodford,24,3,4,0.429,3.99,26,8,4,0,0,0,67.2,66,32,30,7,25,0,50,8,0,2,293,98,4.5,1.345,8.8,0.9,3.3,6.7,2
13,,Jon Lester,37,4,1,0.8,4.36,12,12,0,0,0,0,66,68,34,32,11,26,2,40,2,0,0,285,89,5.4,1.424,9.3,1.5,3.5,5.5,1.54
14,,J.A. Happ,38,5,2,0.714,4,11,11,0,0,0,0,54,52,24,24,9,17,0,45,0,0,1,226,97,4.61,1.278,8.7,1.5,2.8,7.5,2.65
15,,Miles Mikolas,32,2,3,0.4,4.23,9,9,0,0,0,0,44.2,43,24,21,6,11,0,31,2,0,1,186,92,4.4,1.209,8.7,1.2,2.2,6.2,2.82
16,,Wade LeBlanc,36,0,1,0,3.61,12,8,1,0,0,0,42.1,45,17,17,7,16,3,23,3,0,0,188,108,5.58,1.441,9.6,1.5,3.4,4.9,1.44
17,,T.J. McFarland,32,4,1,0.8,2.56,38,0,7,0,0,0,38.2,32,11,11,3,9,1,21,0,0,0,144,153,3.79,1.06,7.4,0.7,2.1,4.9,2.33
18,,Daniel Ponce de Leon,29,1,1,0.5,6.21,24,2,9,0,0,2,33.1,32,24,23,5,22,1,24,5,0,2,158,63,6.11,1.62,8.6,1.4,5.9,6.5,1.09
19,,Luis Garcia,34,1,1,0.5,3.24,34,0,6,0,0,2,33.1,25,12,12,2,8,1,34,1,0,3,135,121,2.72,0.99,6.8,0.5,2.2,9.2,4.25
20,,Kodi Whitley,26,0,0,,2.49,25,0,6,0,0,0,25.1,15,8,7,1,12,0,27,0,1,1,101,158,2.97,1.066,5.3,0.4,4.3,9.6,2.25
21,,Junior Fernandez,24,1,0,1,5.66,18,0,11,0,0,0,20.2,25,13,13,2,15,1,15,0,1,1,97,70,5.15,1.935,10.9,0.9,6.5,6.5,1
22,,Tyler Webb,30,0,0,,13.22,22,0,4,0,0,0,16.1,22,26,24,1,19,1,14,0,0,1,92,30,5.74,2.51,12.1,0.6,10.5,7.7,0.74
23,,Justin Miller,34,1,0,1,4.5,18,0,5,0,0,1,16,15,8,8,2,5,0,9,2,0,0,68,88,4.98,1.25,8.4,1.1,2.8,5.1,1.8
24,,Seth Elledge,25,0,0,,4.63,11,0,2,0,0,0,11.2,13,6,6,1,7,0,11,1,0,1,52,86,4.46,1.714,10,0.8,5.4,8.5,1.57
25,,Jordan Hicks,24,0,0,,5.4,10,0,1,0,0,0,10,5,6,6,0,10,0,10,0,0,3,44,74,4.17,1.5,4.5,0,9,9,1
26,,Dakota Hudson,26,1,0,1,2.08,2,1,0,0,0,0,8.2,7,2,2,0,1,0,6,1,0,1,34,195,2.48,0.923,7.3,0,1,6.2,6
27,,Brandon Waddell,27,0,0,,4.15,4,0,2,0,0,0,4.1,4,2,2,0,5,0,6,0,0,1,22,102,3.86,2.077,8.3,0,10.4,12.5,1.2
28,,Brandon Dickson,36,0,0,,13.5,2,0,1,0,0,0,2,5,3,3,1,0,0,1,0,0,0,10,34,8.67,2.5,22.5,4.5,0,4.5,
29,,Angel Rondon,23,0,0,,0,2,0,1,0,0,0,2,1,0,0,0,1,0,1,0,0,0,7,,3.67,1,4.5,0,4.5,4.5,1
